season,episode,baker,technical,result,baker_age,baker_occupation,hometown,signature_bake,show_stopper
10,5,David,9,IN,36,International health adviser,Whitby,NA,NA
10,5,Henry,3,IN,20,Student,Durham,NA,NA
10,5,Michael,8,IN,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
10,5,Priya,2,IN,34,Marketing consultant,Leicester,NA,NA
10,5,Rosie,5,IN,28,Veterinary surgeon,Somerset,NA,NA
10,5,Helena,1,OUT,40,Online project manager,Leeds,NA,NA
10,5,Michelle,7,OUT,35,Print shop administrator,"Tenby, Wales",NA,NA
10,5,Steph,4,STAR BAKER,28,Shop assistant,Chester,NA,NA
10,5,Amelia,NA,NA,24,Fashion designer,Halifax,NA,NA
10,5,Dan,NA,NA,32,Support worker,Rotherham,NA,NA
10,5,Jamie,NA,NA,20,Part-time waiter,Surrey,NA,NA
10,5,Phil,NA,NA,56,HGV driver,Rainham,NA,NA
10,6,Alice,1,IN,28,Geography teacher,Essex,NA,NA
10,6,David,2,IN,36,International health adviser,Whitby,NA,NA
10,6,Henry,4,IN,20,Student,Durham,NA,NA
10,6,Michael,6,IN,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
10,6,Rosie,5,IN,28,Veterinary surgeon,Somerset,NA,NA
10,6,Priya,7,OUT,34,Marketing consultant,Leicester,NA,NA
10,6,Steph,3,STAR BAKER,28,Shop assistant,Chester,NA,NA
10,6,Amelia,NA,NA,24,Fashion designer,Halifax,NA,NA
10,6,Dan,NA,NA,32,Support worker,Rotherham,NA,NA
10,6,Helena,NA,NA,40,Online project manager,Leeds,NA,NA
10,6,Jamie,NA,NA,20,Part-time waiter,Surrey,NA,NA
10,6,Michelle,NA,NA,35,Print shop administrator,"Tenby, Wales",NA,NA
10,6,Phil,NA,NA,56,HGV driver,Rainham,NA,NA
10,7,Alice,6,IN,28,Geography teacher,Essex,NA,NA
10,7,David,2,IN,36,International health adviser,Whitby,NA,NA
10,7,Rosie,1,IN,28,Veterinary surgeon,Somerset,NA,NA
10,7,Steph,4,IN,28,Shop assistant,Chester,NA,NA
10,7,Michael,5,OUT,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
10,7,Henry,3,STAR BAKER,20,Student,Durham,NA,NA
10,7,Amelia,NA,NA,24,Fashion designer,Halifax,NA,NA
10,7,Dan,NA,NA,32,Support worker,Rotherham,NA,NA
10,7,Helena,NA,NA,40,Online project manager,Leeds,NA,NA
10,7,Jamie,NA,NA,20,Part-time waiter,Surrey,NA,NA
10,7,Michelle,NA,NA,35,Print shop administrator,"Tenby, Wales",NA,NA
10,7,Phil,NA,NA,56,HGV driver,Rainham,NA,NA
10,7,Priya,NA,NA,34,Marketing consultant,Leicester,NA,NA
10,8,Alice,3,IN,28,Geography teacher,Essex,NA,NA
10,8,David,1,IN,36,International health adviser,Whitby,NA,NA
10,8,Rosie,2,IN,28,Veterinary surgeon,Somerset,NA,NA
10,8,Henry,5,OUT,20,Student,Durham,NA,NA
10,8,Steph,4,STAR BAKER,28,Shop assistant,Chester,NA,NA
10,8,Amelia,NA,NA,24,Fashion designer,Halifax,NA,NA
10,8,Dan,NA,NA,32,Support worker,Rotherham,NA,NA
10,8,Helena,NA,NA,40,Online project manager,Leeds,NA,NA
10,8,Jamie,NA,NA,20,Part-time waiter,Surrey,NA,NA
10,8,Michael,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
10,8,Michelle,NA,NA,35,Print shop administrator,"Tenby, Wales",NA,NA
10,8,Phil,NA,NA,56,HGV driver,Rainham,NA,NA
10,8,Priya,NA,NA,34,Marketing consultant,Leicester,NA,NA
10,9,David,2,IN,36,International health adviser,Whitby,NA,NA
10,9,Steph,3,IN,28,Shop assistant,Chester,NA,NA
10,9,Rosie,1,OUT,28,Veterinary surgeon,Somerset,NA,NA
10,9,Alice,4,STAR BAKER,28,Geography teacher,Essex,NA,NA
10,9,Amelia,NA,NA,24,Fashion designer,Halifax,NA,NA
10,9,Dan,NA,NA,32,Support worker,Rotherham,NA,NA
10,9,Helena,NA,NA,40,Online project manager,Leeds,NA,NA
10,9,Henry,NA,NA,20,Student,Durham,NA,NA
10,9,Jamie,NA,NA,20,Part-time waiter,Surrey,NA,NA
10,9,Michael,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
10,9,Michelle,NA,NA,35,Print shop administrator,"Tenby, Wales",NA,NA
10,9,Phil,NA,NA,56,HGV driver,Rainham,NA,NA
10,9,Priya,NA,NA,34,Marketing consultant,Leicester,NA,NA
10,10,Alice,2,Runner-up,28,Geography teacher,Essex,NA,NA
10,10,Steph,3,Runner-up,28,Shop assistant,Chester,NA,NA
10,10,David,1,WINNER,36,International health adviser,Whitby,NA,NA
10,10,Amelia,NA,NA,24,Fashion designer,Halifax,NA,NA
10,10,Dan,NA,NA,32,Support worker,Rotherham,NA,NA
10,10,Helena,NA,NA,40,Online project manager,Leeds,NA,NA
10,10,Henry,NA,NA,20,Student,Durham,NA,NA
10,10,Jamie,NA,NA,20,Part-time waiter,Surrey,NA,NA
10,10,Michael,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
10,10,Michelle,NA,NA,35,Print shop administrator,"Tenby, Wales",NA,NA
10,10,Phil,NA,NA,56,HGV driver,Rainham,NA,NA
10,10,Priya,NA,NA,34,Marketing consultant,Leicester,NA,NA
10,10,Rosie,NA,NA,28,Veterinary surgeon,Somerset,NA,NA
